name,tags,description
cathelineau/holy-oak,celtic light nature wood,"That tree is a sacred one, see it shining. Druids and elves will pray at this sacred place to gather mana."
cathelineau/iron-hulled-warship,boat sea smoke steampunk,Ironclads are ancient steam propelled ships with heavy armor and big sails.
cathelineau/medusa-head,creature greek-roman head reptile,"Dozen of snakes are swarming the crown of this petrifying Gorgon, that can turn the victims into stone."
cathelineau/nun-face,head medieval-fantasy,A religious Sister.
cathelineau/occupy,building flag world-wars,The siege is over. Tanks are spreading through the city streets that had surrendered.
cathelineau/old-king,head,This old leader relies on wisdom and strength to rule his kingdom.
cathelineau/oppidum,building celtic greek-roman,Gallic cities were on top of hills between wood walls.
cathelineau/polar-bear,animal ice mammal,"A white bear living in Arctic areas, near the North Pole. It mainly eat fish to survive."
cathelineau/swordman,body shield,A fighter with blade and shield.
cathelineau/swordwoman,body shield,A female fighter in the rage of a battle.
cathelineau/torc,celtic jewellery metal,A twisted necklace very hard to remove.
cathelineau/transparent-slime,creature,A jelly creature with no opacity that can flatten itself to pass underneath low obstacle.
cathelineau/tree-face,celtic creature wood,Wooden mask carved in the trunk of an old tree. The hollow eyes and mouth may be filled with magic items.
cathelineau/tumulus,building death,Ancient respected warchiefs were buried in huge handmade hills.
cathelineau/witch-face,creature medieval-fantasy head,"An old and ugly shrew living in a dirty shack in the deep forest, mixing magic potions."
catsu/broken-arrow,arrow,This arrow is shattered like glass.
darkzaitzev/acrobatic,action body ninja,"Quick agile moves in the air, harmoniously jumping from ropes, cables or small platforms."
darkzaitzev/apothecary,kitchenware life,Large bowl to prepare mixtures and medicines by combining herbs and special potions.
darkzaitzev/big-gear,machine metal,This massive cog is tough enough to rotate inside battleship mechanical engines.
darkzaitzev/catch,action hand,You need good reflexes and grip to catch this thrown stick in mid-air with your bare hands.
darkzaitzev/cauldron,container kitchenware liquid,"To boil weird liquid preparations, like mana soup or melted frog juice with cinnamon."
darkzaitzev/chameleon-glyph,reptile symbol,This master of disguise of the animal reign curls tightly when it needs to rest.
darkzaitzev/death-juice,death liquid skull,Drop from the after-world. At first it may be confused with blood or bone marrow.
darkzaitzev/distraction,body state,Hard to stay focus on a task when something else very interesting occurs around.
darkzaitzev/fish-cooked,fish meat stone-age,A salmon on a stick over a campfire. It's less sweet than marshmallow but give more energy.
darkzaitzev/flying-shuriken,ninja spike weapon,Like a metal falcon approaching it's prey at high speed.
darkzaitzev/fried-fish,fish meat,"With French fries and a bit of lemon juice, this anchovy or herring will be a salty meal."
darkzaitzev/hooded-assassin,body,The dagger of this murderer is ready to dive deep in the heart of the victim during this occult ceremony.
darkzaitzev/hooded-figure,body,This mysterious being hidden under a large cloak runs swiftly through the twilight. It may be a ranger or an elf.
darkzaitzev/kusarigama,ninja weapon,This chain-sickle is a sharp traditional Japanese weapon used during the Middle Ages.
darkzaitzev/ninja-head,head mask ninja,Only the eyes are visible behind this mask. This way there's no way to recognize the assassin.
darkzaitzev/ninja-heroic-stance,body ninja,This Asian warrior is about to confront its worst opponents and enter the scene in a dramatic way.
darkzaitzev/north-star-shuriken,ninja spike star weapon,"When you see it in the night sky, it may be too late for you."
darkzaitzev/on-sight,target,That is a scary situation when someone is aiming at you with a sniper rifle and you can't move.
darkzaitzev/plants-and-animals,animal plant,A snake surrounding a young crop. Symbol of harmony between fauna and flora in nature.
darkzaitzev/ram,mammal,This goat like animal stinks a lot and hit very hard with the huge horns on the top of its head.
darkzaitzev/revolt,hand,Ready to go on strike by mobilizing the angry mob and fight against the government.
darkzaitzev/robber-hand,bag hand money,This nice purse full of coins is a temptation that a thief can't resist to steal.
darkzaitzev/running-ninja,action body ninja,This dark shadow was jumping from roof to roof before it dashes in a desert alley.
darkzaitzev/severed-hand,bone hand,"Those five fingers are no longer connected to the rest of the arm. In the separating process, the watch has been lost."
darkzaitzev/sharp-shuriken,ninja spike star weapon,This rotating razor can fit in a small bag. So you can carry a lot.
darkzaitzev/shuriken,ninja spike star weapon,"Small metal star, spinning in the air until it reaches a soft target and remain stuck."
darkzaitzev/skull-sabertooth,skull,This long teeth had made big damages while they were attached to a living head.
darkzaitzev/smoke-bomb,bomb ninja smoke,"For a quick evasion, this ball emits large amount of opaque gas that blinds enemies."
darkzaitzev/star-shuriken,ninja spike star weapon,Simple spinning star used during martial art combats.
darkzaitzev/tabi-boot,boot ninja,Light shoes with no hard sole producing loud noises. This way discretion is optimal.
darkzaitzev/three-pointed-shuriken,ninja spike weapon,Three blades are interconnected in the center by a metal ring. But it can only follow one path.
darkzaitzev/whirlpool-shuriken,ninja spike weapon,Like a small tornado made of blades that could also be taken from a power tool saw.
delapouite/3d-glasses,eye glass,"Red and blue filters to experience movies with extra dimensions thanks to stereoscopy.
In the cinema, hard to tell which objects are real and which ones simple pop out of the theater screen."
delapouite/3d-hammer,hammer tool,To hit on metal in a forge and produce perfect blades.
delapouite/3d-meeple,board toy,A small wooden character used as tokens by each player. This placeholder is placed on a board to show the game progress.
delapouite/3d-stairs,building,"A staircase to reach the deeper level of a dungeon or, on the contrary, escape from the darkness one step at the time."
delapouite/abacus,gui household,Wooden balls used to count or tally before computers and their infinite power over numbers were everywhere.
delapouite/abbot-meeple,board body,A monk in charge of sharing the holy knowledged to surrounding folks.
delapouite/achilles-heel,arrow boot greek-roman,"This kind of non obvious weak point can turn into a crucial vulnerability when discovered.
At least it's not an arrow in the knee!"
delapouite/acoustic-megaphone,electronic sound,Simple way to scream loudly to a crowd during a strike to give it instructions or orders.
delapouite/africa,map,"This continent is considered the crib of mankind. The north part is covered by the Sahara desert. Below, the savanna is home of many species like lions, giraffes and elephants."
delapouite/agave,mexico plant,This dry plant growing in the desert is used to produce Tequila.
delapouite/ages,board body,"An adult and a child side by side. One person is old and wise, the other one is young and quick."
delapouite/air-balloon,sky steampunk vehicle,Hot and slow balloon to travel in the clouds and go around the world in less than 80 days.
delapouite/airplane-arrival,sky vehicle,"After a long flight, this plane is finally landing on the airport."
delapouite/airplane-departure,sky vehicle,Take off to reach the clouds and start a journey.
delapouite/airtight-hatch,building door lock science-fiction,This pressurized environment rely on a thick automated seal to protect the inside from the void.
delapouite/akhet,egypt symbol,A hieroglyph representing the sun rising over a mountain.
delapouite/alarm-clock,household sound time,"Produces a strident ring to wake you up in the morning. If the hands are not phosphorescent, it's impossible to tell the time in dark room at night."
delapouite/algae,plant sea,Aquatic plants living on rocks at the bottom of the ocean. It's often a shelter for fish and can even be turned into an edible salad.
delapouite/algeria,map,"Country located north of Africa, on the south bank of the Mediterannean sea."
delapouite/alien-bug,creature claw science-fiction space,An insectoid alien living in swarm colony and multiplying at big scale in no time.
delapouite/alien-egg,creature egg tentacle science-fiction space,A monstrous baby about to emerge from its viscous incubation cocoon and start hunting.
delapouite/all-seeing-eye,eye symbol,"The Eye of providence casting rays. God is watching you, even from dollar bills."
delapouite/almond,food fruit,"A dry nut used to make milk, cake and biscuits like nougat or macarons."
delapouite/amber-mosquito,insect mineral,A disturbing blood sucker from Jurassic trapped in stone. It contains previous DNA necessary to bring back to life extinct species like dinosaurs.
delapouite/ambulance,life vehicle,An emergency transportation to carry injured people to the nearest hospital in a hurry.
delapouite/american-football-ball,australia ball sport,"Give it to the quarterback to score. The rugby ball is quite similar, looking like a long egg."
delapouite/american-football-helmet,hat sport,To protect the quaterback's head when the ball is dropping.
delapouite/american-football-player,armor sport,A light armor is necessary to run across the field as a quarterback.
delapouite/american-shield,shield star,"Made from Vibranium, the Captain's shield is virtually indestructible and usually comes back like a Frisbee."
delapouite/amphora,bottle greek-roman kitchenware liquid,A Roman vase to hold wine or other precious liquids during banquets. Many fragments of amphora are found in archaeological site.
delapouite/ample-dress,clothing,A large skirt that may be worn during a wedding or a ceremony.
delapouite/anarchy,symbol,A political movement against establishment where decisions follow the will of the people.
delapouite/ancient-columns,building greek-roman,3 broken columns belonging to an old temple in ruins.
delapouite/ancient-ruins,building greek-roman stone,An old temple falling apart with broken columns and rusty parts.
delapouite/ancient-screw,machine zelda,This bolt belongs to the carapace to old guardian robots.
delapouite/ancient-sword,blade,This old sword is stuck in a stone and covered with moss.
delapouite/angola,map,"South african country bordered by the Atlantic Ocean.
The capital is Luanda."
delapouite/angry-eyes,eye state,"Stare with frowned eyebrows, feeling anger."
delapouite/animal-hide,animal stone-age,"Leather skin, gathered after hunting or farming.
This nice fur can then be turned into a pelt."
delapouite/ant,insect,A small part of a coordinated crowd.
delapouite/antarctica,ice map,The frozen continent at the South Pole is full of mysteries under the thick ice.
delapouite/antibody,chemical,The immune system used this Y-shaped protein produced by plasma cells to neutralize pathogens like bacteria and viruses
delapouite/anticlockwise-rotation,arrow gui,An arrow turning from right to left in the top quadrant.
delapouite/ants,insect,A colony of soldiers and workers contributing to the hive.
delapouite/anubis,creature death egypt,"Egyptian god of mummification with a jackal head, which looks like a wolf like invincible monster."
delapouite/apollo-capsule,space vehicle,A lunar module designed to carry astronauts back on earth.
delapouite/apple-core,fruit,This apple has been eaten and only the center remains with seeds.
delapouite/aquarium,bottle fish household,A fish tank with a small bubbling goldfish swimming around endlessly. It waits for magic food falling from above.
delapouite/aquarius,symbol,A goddess pouring mighty water star constellation - Zodiacal sign from January to February
delapouite/aqueduct,bridge france greek-roman liquid,Roman bridge transporting water across long distances to fill reservoirs.
delapouite/arabic-door,building door,"The beautifully decorated entrance of an Arabic temple, with colorful mosaic tiles."
delapouite/arc-triomphe,building door france,"Famous monument of Paris, at the top of the Champs-Élysées on la Place de l'Étoile."
delapouite/arch-bridge,bridge,The big pillars of this structure enhance the balance of the arch.
delapouite/archer,arrow sport,Calm and concentration must be mastered to aim in the bull eyes.
delapouite/archive-research,book,"Mysteries are hidden in these pages, a scholar exploring the library should be able to find them."
delapouite/aries,symbol,Ram star constellation - Zodiacal sign from March to April
delapouite/arm-bandage,blood body life,"An injury between the elbow and the shoulder, with straps to avoid infection."
delapouite/arm-sling,blood body life,This injury at the broken elbow needs a plaster to full recovery.
delapouite/arm,anatomy,Superior limb with the hand at one end and the shoulder at the other one with the biceps in between.
delapouite/armadillo,mammal,This stripped animal from America has a leather armor shell and can morph into a defensive ball.
delapouite/armor-downgrade,armor rank shield,"Defense decreasing, more vulnerability to expect."
delapouite/armor-punch,armor hand,A metal fist in a gauntlet hitting at full speed.
delapouite/armor-upgrade,armor rank shield,"Defense increasing, more protection. Immunity has been granted thanks to this power-up."
delapouite/armored-boomerang,weapon,Try to hunt a heavy kangaroo with it to see if it goes back to you.
delapouite/arrest,action gun police,A bad guy under arrest by the police who must show his empty hands and obey the orders. Or it could be a threatened hostage.
delapouite/arrow-cursor,arrow gui,Guide this pointer on the screen by moving the mouse. Then click to trigger an action on the graphical interface.
delapouite/arrow-wings,arrow wing,"This arrow belongs to the bow of cupidon, it has an autopilot system."
delapouite/ascending-block,block building egypt,Big stone block being pulled along a slope to build a pyramid. No slaves involved.
delapouite/asian-lantern,light ninja,Warm but soft light shining from this paper box with inscriptions.
delapouite/asparagus,food fruit,A vegetable crop also called sparrow grass.
delapouite/aspergillum,tool,A metal stick used by priests to sprinkle holy water during ceremonies.
delapouite/asteroid,space stone,A big rock floating in space that should not smash anything. There's a high concentration of them between Mars and Jupiter.
delapouite/astronaut-helmet,armor hat science-fiction space,To let cosmonauts breath in the void and protect their brain from deadly space rays.
delapouite/atlas,body greek-roman map,"Titan god of endurance and astronomy doomed to carry the globe on its shoulders, in an infinite torment."
delapouite/atom-core,chemical,Electrons rotating around a nucleus made of protons and neutrons.
delapouite/attached-shield,hand shield,"When you receive a blow on the other side, you better grab it forcefully to defend your life."
delapouite/audio-cassette,sound,Magnetic tape from the 80s to record analog music on both faces and play it in a Walkman.
delapouite/australia,australia map,Big island or continent? It was the last huge land conquered by colonists against native aboriginal people.
delapouite/avocado,food fruit mexico,A big berry with one seed used to produce guacamole.
delapouite/avoidance,arrow,The collision was avoided by bending the trajectories.
delapouite/axe-in-log,axe wood,A lumberjack is having a break after the tree is on down the forest floor on all branches have been stripped.
delapouite/axe-sword,axe blade cross,Symbol of lumberjack warriors.
delapouite/azul-flake,symbol,This symbol is printed on top of light blue Azuleros.
delapouite/baby-bottle,bottle,Good milk when mum can't naturally feed the starving kid.
delapouite/baby-face,head,"A toothless smile from a young child, amazed by everything's going on in the surroundings."
delapouite/babyfoot-players,ball sport toy,Rows of metal soldiers kicking in a ball on a miniature soccer field. This is the kind of game found in bars.
delapouite/backgammon,board,Roll the dice to move the checker on the correct triangles.
delapouite/backpack,bag,Huge bag with lots of pockets to carry the whole objects inventory and common equipment during a hiking trip.
delapouite/backward-time,arrow gui time,"This clock is going in the counter-clockwise direction, which means it travels to the past."
delapouite/bacon,meat,Two stripes of salt-cured pork from parts with a lot of fat.
delapouite/bad-breath,mouth zombie,Horrible odor coming from a zombie teeth made of rotten food or organs decomposition.
delapouite/ball-pyramid,ball,A stack of spheres that remain in perfect balance. It also looks like a pool game seen from above.
delapouite/ballerina-shoes,boot,Pointy light shoes for star dancers during ballets at the opera. Need strong toes to keep the balance.
delapouite/balloon-dog,circus toy,This brittle and temporary creation fears spikes and strong winds. These kind of balloons often belon to clowns.
delapouite/bamboo-fountain,liquid ninja wood,A quiet water tap in Asian gardens around ponds. Every few seconds the tube is filled and the liqud is poured in a bigger recipient.
delapouite/bamboo,ninja plant,Fast growing wooden tubes exploited for constructions.
delapouite/banana-bunch,fruit,"A trio of juicy yellow bananas ready to be harvest. Cook them to produce a mighty meal, like in the Yiga Clan recipe."
delapouite/banana-peel,boot fruit trap super-mario,"A slippery skin on the floor is a frightening hazard.
During a Mario Kart race, banana peels are often left on the track by Donkey Kong and non attentive drivers skid out of the stage."
delapouite/banana-peeled,fruit,The peel has been removed and it's ready to be eaten as a dessert.
delapouite/banana,food fruit,"Tropical fruit long and yellow, loved by monkeys. Some people also called them plantains."
delapouite/bandit,hat head western,"A villain hiding its face behind a kerchief, about to rob a bank or a coach."
delapouite/banging-gavel,police tool,"At the tribunal court, the verdict can't be pronounced if the crowd is noisy."
delapouite/bank,building money,"Safe place to store money and credits. Despite heavy protection by the police, banks are often the target of robberies and hold-ups."
delapouite/banknote,money symbol,Money printed on paper for different amounts. Banknotes are lighter than their equivalents in coins.
delapouite/barbarian,head medieval-fantasy,A muscular warrior that may go berserk during battles. This kind of brutal man looks like a hero but is often outwitted by his opponents.
delapouite/barbecue,australia kitchenware smoke,To cook meat outdoor in the garden during a week-end party. It needs the right sauce to get even tastier.
delapouite/barn,building farm,"Warehouse to store sacks of grain, crops, haystacks or agricultural tractors in a farm."
delapouite/barracks-tent,building flag world-wars,Temporary place to rest or plan the next strategic move when on the battlefield.
delapouite/barracks,building flag world-wars,"Infantry's living place in training camps. Inside, bunk beds are organized in rows like soldiers waiting quietly in their garrison."
delapouite/barrel-leak,container liquid,A suspicious content escaping the open barrel is forming a puddle with disastrous environmental consequences.
delapouite/barrel,container liquid pirate wood,Big cylindrical alcohol container made of wood. It gives a special taste to the wine and whisky inside.
delapouite/barricade,building france,A pile of street furniture and barbed wire to protect citizens during strikes and block infantry.
delapouite/barrier,building door,It's forbidden to cross this fence and follow this path.
delapouite/baseball-bat,sport weapon,Wave this wooden stick to hit the ball and score home-runs during a game. This is also the weapon of choice against burglars.
delapouite/baseball-glove,hand sport,To catch the ball during a game and avoid a home run.
delapouite/basketball-ball,ball sport,Score points in the NBA championship by throwing this ball in the opponent basket.
delapouite/basketball-basket,sport,Net to score 2 or 3 points depending of the zone.
delapouite/basketball-jersey,clothing sport,A light shirt with a number on it to distinguish players during a match.
delapouite/bastet,egypt mammal statue,A cat statue with a large necklace and sitting in a noble attitude.
delapouite/bat-mask,mask,A super hero living in the darkness and talking with a loud voice.
delapouite/bat,animal mammal vampire,A flying fox living in dark caves. It sleeps upside down and use strident sounds to find its direction.
delapouite/bathtub,household,Clean your dirty body in the warmth of the bathroom.
delapouite/battle-mech,robot,A giant metal robot with no apparent weapons but a strong armor to tank through enemy lines.
delapouite/beach-ball,ball circus sport toy,Big inflatable balloon with stripes to play near the seashore during summer holidays.
delapouite/beach-bucket,container tool toy,Plastic tools used by kids to build sand castle during summer.
delapouite/beam-satellite,machine space,An orbit laser striking energy to specific military targets on Earth.
delapouite/bear-head,animal mammal,A strong and ferocious grizzly that can fish with its bare paws.
delapouite/beaver,mammal,A large aquatic rodent known to build dams over rivers.
delapouite/bed-lamp,household light,A simple lamp to read good old books during evenings just before getting really sleepy.
delapouite/bed,household,"This piece of furniture has a mattress, a blanket and pillows to have a good sleep and eliminate the fatigue."
delapouite/beehive,building farm insect,Fake house for bees used by beekeeper to harvest delicious honey and make sure the colony flourish.
delapouite/beer-bottle,bottle food,Alcoholic beverage made of hops and malted cereal grains.
delapouite/beer-horn,liquid viking,A bull's horn to drink mead during feasts.
delapouite/beet,food fruit super-mario,Tubercle producing a pink blood when mixed with mayonnaise sauce. It's a big source of sugar.
delapouite/belgium,map,Small European country where is located the EU council in Brussels.
delapouite/bellows,fire smoke tool,"In a forge, the fire needs to be kept strong for the blacksmith to perform well."
delapouite/belt-armor,armor metal,Lots of useful gadgets can be attached around this heavy belt with a locked plate in the middle.
delapouite/berries-bowl,ball food fruit stone-age,"The result of a good fruit picking session in the forest: strawberries, blueberries…"
delapouite/berry-bush,fruit wood,Berries growing on a small tree ready to be picked and turned into jam.
delapouite/biceps,anatomy sport,A big and strong upper arm muscle ready to lift heavy weights.
delapouite/billed-cap,hat sport,Protect the head of baseball players from homeruns.
delapouite/bindle,bag stone-age,Small folded bag used by travelers to carry light belongings during their journey.
delapouite/binoculars,eye map tool,A pair of field glasses to watch tiny details at the horizon. The zoom factor depends of the model.
delapouite/bird-house,bird building,This wooden house offers shelter for birds without nests.
delapouite/bison,mammal stone-age western,A cousin of the cow with a hump and bigger horns. This buffalo is like a big bull with hair.
delapouite/black-belt,clothing ninja string,"This color is a symbol of mastery in many martial arts like Judo, Karate or Taekwondo."
delapouite/black-bridge,bridge,A stone bridge under the moon leading to a fishermen village and guarded by a powerful concierge.
delapouite/black-knight-helm,armor hat,A simple helmet to protect from flesh wounds and scratches.
delapouite/black-sea,map,La mer noire ?
delapouite/blacksmith,body hammer tool,A strong guy with huge arms and sweaty forehead molding and structuring blades in his forge.
delapouite/blindfold,eye head,"Ribbon of cloth covering the eyes of someone to disable its sight, like a temporary blindness."
delapouite/block-house,building,A small fortress to guard strategic places. The upper balcony offers a wide overview.
delapouite/bo,ninja wood weapon,A stick of hard wood used by Donatello to hit enemies.
delapouite/boat-engine,boat machine,A propeller using fuel to move the ship at high speed across the waves.
delapouite/boat-fishing,boat fish sea,A fisherman trying to capture fish with a rod.
delapouite/boat-horizon,boat sea star,"During sunrise only sails are visible far away, behind the waves."
delapouite/boat-propeller,boat machine,A huge metal fan connected to the ship engine and spinning at high speed to go forward.
delapouite/body-balance,body circus sport,All the muscles are contracted to stay in the right position but this requires a lot of agility.
delapouite/body-height,arrow body rank,Distance between the toes and the tip of the head. This measurement distinguish tall people from small ones.
delapouite/bolivia,map,"Landlocked country of South America located on the Altiplano of the Andean mountain range.
The capital is Sucre."
delapouite/bolt-bomb,bomb energy lightning,An electrical explosive that destroys surrounding devices like an EMP.
delapouite/bolt-cutter,lock metal tool,To cut through fences and barbed-wires. Locks can also quickly be broken by the lever effect of this huge plier with almost no efforts.
delapouite/bolt-drop,energy liquid,The lightning bolt is trapped inside this compact liquid.
delapouite/bolt-spell-cast,hand lightning,A magic incantation to electrocute an enemy with a huge surge of electricity.
delapouite/bone-knife,blade bone stone-age,A sharp blade sculpted in a femur or an ulna.
delapouite/bone-mace,bone stone-age weapon,This weapon was carved in an old victim to hit a new one.
delapouite/bonsai-tree,household ninja plant wood,Very old dwarf trees kept in a pot by meticulously cutting branches and leaves in a harmonious shape.
delapouite/book-cover,book,"Pages are hidden behind this blank cover, but they certainly contains magic knowledge about ancient spells."
delapouite/book-pile,book,A neatly arranged stack of books in a library. Covers are sorted alphabetically or in the history order.
delapouite/bookshelf,book household,A cabinet in a library to store books of important knowledge and magic grimoires.
delapouite/boombox,electronic sound,"A portable speaker, a ghetto blaster."
delapouite/boomerang-cross,cross vampire weapon,One part of the Belmont equipment to hunt vampires.
delapouite/boomerang,australia sport weapon zelda,Aboriginal Frisbee to hunt down Kangaroos that always comes back to its point of origin. The boomerang is one of the most famous symbol of Australia.
delapouite/booze,bottle glass liquid western,Strong alcohol to share in a bar with fellows around a poker table.
delapouite/boss-key,lock zelda,To open the final room leading to the master's lair in a dark dungeon.
delapouite/bottle-cap,bottle metal,To close drinks and avoid keep the pressure.
delapouite/bottled-shadow,bottle creature trap,A small ectoplasm symbiote prisoner of a glass container.
delapouite/boulder-dash,ball trap,Run for your life in this narrow corridor or the giant rolling ball will flatten you!
delapouite/bouncing-spring,machine trap,A quick way to jump high by retroactive propulsion force.
delapouite/bow-arrow,arrow weapon,This is the minimum equipment used to practice archery and aim at the right spot in one shot.
delapouite/bow-string,string weapon,Zoom on the attach of a bow string.
delapouite/bow-tie-ribbon,clothing rank string,A knot to close a present box. It's made of bright and warm fabric to be pleasant and harmonious.
delapouite/bow-tie,clothing,Ribbon of tissue around the neck to dress as a dandy gentleman during a cocktail party.
delapouite/bowels,anatomy,"The digestive tube entangled in the belly, processing food and nutriments into vital energy."
delapouite/bowen-knot,gui symbol,An old heraldic shape use nowadays on some keyboards.
delapouite/bowling-pin,sport,Waiting for the strike with my nine friends.
delapouite/bowling-strike,ball sport,The perfect move during a game when the 10 pins explode at the end of the alley.
delapouite/box-cutter,blade tool,A sharp blade to cut through tape wrapping cardboard boxes and unveil their content.
delapouite/box-unpacking,arrow container,Content extraction to reveal what's inside.
delapouite/boxing-ring,building sport,A fighting ground for boxing with four posts in the corners connected by ropes.
delapouite/bracer,armor,A thick leather protection for the forearm and the writ.
delapouite/brain-leak,head,Good ideas are escaping the inventor that produced them.
delapouite/brain-tentacle,creature tentacle,This grey matter can move and feed by itself.
delapouite/brasero,fire greek-roman light,An altar in flames dedicated to an inferno god.
delapouite/brass-knuckles,hand weapon,Metal bar to break jaws with a simple punch.
delapouite/brazil-flag,flag,"A gold rhombus on a green field encompassing a planet with the national motto \"Ordem e Progresso\"."
delapouite/brazil,map,"Big country of South American with Portuguese language.
The capital is not Rio de Janeiro but Brasília."
delapouite/bread-slice,food,Put jam or butter on it to eat during breakfast
delapouite/bread,food france,Bread is a commonly eaten with cheese or meat.
delapouite/brick-pile,block building catan stone,"Block elements to build a wall, possibly made of cement, concrete or clay depending of the era."
delapouite/brick-wall,block building stone,Solid fortification made of stone and concrete.
delapouite/briefcase,bag,A bag to carry paper documents by hands to go to business meetings or school.
delapouite/broccoli,fruit,A green vegetable that looks like a small fluffy tree.
delapouite/broken-axe,axe weapon,The blow was too hard and the wood exploded in splinters.
delapouite/broken-pottery,container greek-roman kitchenware,This old jug has been found on a excavation site by archaeologists. The missing pieces are lost.
delapouite/broken-wall,block building stone,These bricks need to be replaced and sealed with fresh mortar or this wall will collapsed.
delapouite/broom,household tool,To sweep the dust and keep the floor clean. Some might say that brooms are low tech vacuum cleaners.
delapouite/brute,creature,It has big arms and blocking the way to the next treasure room. It could even be a mini boss.
